Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43877E+12,16,-64,-1056,Desk Work
1.43877E+12,-16,-40,-1072,Desk Work
1.43877E+12,-8,-64,-1096,Desk Work
1.43877E+12,0,-72,-1032,Desk Work
1.43877E+12,8,-72,-1088,Desk Work
1.43877E+12,8,-72,-1072,Desk Work
1.43877E+12,0,-72,-1080,Desk Work
1.43877E+12,8,-64,-1064,Desk Work
1.43877E+12,0,-72,-1088,Desk Work
1.43877E+12,-8,-64,-1080,Desk Work
1.43877E+12,-24,-80,-1072,Desk Work
1.43877E+12,8,-80,-1072,Desk Work
1.43877E+12,0,-72,-1064,Desk Work
1.43877E+12,0,-72,-1080,Desk Work
1.43877E+12,0,-64,-1072,Desk Work
1.43877E+12,8,-80,-1048,Desk Work
1.43877E+12,8,-80,-1072,Desk Work
1.43877E+12,8,-64,-1072,Desk Work
1.43877E+12,-8,-64,-1072,Desk Work
1.43877E+12,-8,-56,-1072,Desk Work
1.43877E+12,-8,-64,-1080,Desk Work
1.43877E+12,-16,-56,-1008,Desk Work
1.43877E+12,-32,-64,-1096,Desk Work
1.43877E+12,-16,-64,-1128,Desk Work
1.43877E+12,-32,-56,-1152,Desk Work
1.43877E+12,24,-56,-1056,Desk Work
1.43877E+12,0,-48,-1032,Desk Work
1.43877E+12,-16,-56,-1048,Desk Work
1.43877E+12,8,-24,-1064,Desk Work
1.43877E+12,72,-72,-992,Desk Work
1.43877E+12,80,-80,-1072,Desk Work
1.43877E+12,24,-56,-1112,Desk Work
1.43877E+12,-24,-48,-1096,Desk Work
1.43877E+12,-40,-88,-1016,Desk Work
1.43877E+12,-32,-104,-1032,Desk Work
1.43877E+12,-104,-24,-1008,Desk Work
1.43877E+12,-72,-56,-1040,Desk Work
1.43877E+12,-56,-24,-1016,Desk Work
1.43877E+12,-64,-152,-1112,Desk Work
1.43877E+12,-24,-24,-1112,Desk Work
1.43877E+12,24,-80,-1056,Desk Work
1.43877E+12,8,-64,-1136,Desk Work
1.43877E+12,-16,-16,-1056,Desk Work
1.43877E+12,-8,-80,-1064,Desk Work
1.43877E+12,-8,0,-992,Desk Work
1.43877E+12,-24,-64,-1096,Desk Work
1.43877E+12,-32,-56,-1120,Desk Work
1.43877E+12,-64,-128,-1104,Desk Work
1.43877E+12,-40,-64,-1224,Desk Work
1.43877E+12,-16,16,-1024,Desk Work
1.43877E+12,-24,8,-1064,Desk Work
1.43877E+12,-8,-40,-912,Desk Work
1.43877E+12,-16,-64,-1048,Desk Work
1.43877E+12,-24,-144,-1112,Desk Work
1.43877E+12,-48,-96,-1048,Desk Work
1.43877E+12,-40,-184,-1096,Desk Work
1.43877E+12,8,-152,-1008,Desk Work
1.43877E+12,-24,-160,-1048,Desk Work
1.43877E+12,-88,-144,-1144,Desk Work
1.43877E+12,-40,-152,-1040,Desk Work
1.43877E+12,-16,-120,-1008,Desk Work
1.43877E+12,-16,-96,-1056,Desk Work
1.43877E+12,8,-64,-1040,Desk Work
1.43877E+12,-16,-56,-1040,Desk Work
1.43877E+12,-32,-24,-1064,Desk Work
1.43877E+12,-32,-32,-1104,Desk Work
1.43877E+12,0,-48,-1088,Desk Work
1.43877E+12,-24,-56,-1072,Desk Work
1.43877E+12,-40,32,-1000,Desk Work
1.43877E+12,-16,40,-1000,Desk Work
1.43877E+12,-16,0,-1072,Desk Work
1.43877E+12,-8,-40,-1080,Desk Work
1.43877E+12,16,16,-1056,Desk Work
1.43877E+12,24,40,-1096,Desk Work
1.43877E+12,16,48,-1104,Desk Work
1.43877E+12,-16,104,-1064,Desk Work
1.43877E+12,-40,24,-1104,Desk Work
1.43877E+12,0,32,-1080,Desk Work
1.43877E+12,-24,72,-1048,Desk Work
1.43877E+12,-32,64,-1088,Desk Work
1.43877E+12,-16,16,-1120,Desk Work
1.43877E+12,-24,-24,-1080,Desk Work
1.43877E+12,-24,-80,-1056,Desk Work
1.43877E+12,-16,-64,-1136,Desk Work
1.43877E+12,-16,-32,-1080,Desk Work
1.43877E+12,-16,0,-1064,Desk Work
1.43877E+12,-32,0,-1088,Desk Work
1.43877E+12,-16,-32,-1136,Desk Work
1.43877E+12,-56,-64,-1016,Desk Work
1.43877E+12,-32,48,-1040,Desk Work
1.43877E+12,-32,16,-1024,Desk Work
1.43877E+12,-40,48,-1064,Desk Work
1.43877E+12,-64,8,-1024,Desk Work
1.43877E+12,-80,-8,-1080,Desk Work
1.43877E+12,-48,32,-1080,Desk Work
1.43877E+12,-40,32,-1104,Desk Work
1.43877E+12,16,160,-1040,Desk Work
1.43877E+12,32,128,-1056,Desk Work
1.43877E+12,0,72,-1064,Desk Work
1.43877E+12,-16,0,-1088,Desk Work
1.43877E+12,-24,-88,-1128,Desk Work
1.43877E+12,0,-32,-1064,Desk Work
1.43877E+12,0,-24,-1056,Desk Work
1.43877E+12,-32,0,-1112,Desk Work
1.43877E+12,-24,8,-1064,Desk Work
1.43877E+12,-40,8,-1072,Desk Work
1.43877E+12,-32,40,-1128,Desk Work
1.43877E+12,-32,16,-1080,Desk Work
1.43877E+12,-32,0,-1136,Desk Work
1.43877E+12,-32,-64,-1104,Desk Work
1.43877E+12,-32,-48,-1056,Desk Work
1.43877E+12,-16,16,-1048,Desk Work
1.43877E+12,-24,-64,-1096,Desk Work
1.43877E+12,-8,-16,-1080,Desk Work
1.43877E+12,-8,40,-1088,Desk Work
1.43877E+12,-32,56,-1008,Desk Work
1.43877E+12,-32,16,-1096,Desk Work
1.43877E+12,-24,32,-1048,Desk Work
1.43877E+12,-32,32,-1096,Desk Work
1.43877E+12,-16,-16,-1064,Desk Work
1.43877E+12,8,8,-1200,Desk Work
1.43877E+12,0,64,-1000,Desk Work
1.43877E+12,-40,16,-1072,Desk Work
1.43877E+12,-48,40,-1088,Desk Work
1.43877E+12,-32,48,-1096,Desk Work
1.43877E+12,-32,48,-1096,Desk Work
1.43877E+12,-32,16,-1096,Desk Work
1.43877E+12,-40,32,-1072,Desk Work
1.43877E+12,-48,16,-1096,Desk Work
1.43877E+12,-24,24,-1192,Desk Work
1.43877E+12,8,104,-1048,Desk Work
1.43877E+12,-8,-8,-1088,Desk Work
1.43877E+12,-24,8,-1072,Desk Work
1.43877E+12,-16,40,-1096,Desk Work
1.43877E+12,-8,72,-1064,Desk Work
1.43877E+12,-16,112,-1064,Desk Work
1.43877E+12,-16,80,-1088,Desk Work
1.43877E+12,-32,56,-1088,Desk Work
1.43877E+12,-48,72,-1080,Desk Work
1.43877E+12,-56,80,-1096,Desk Work
1.43877E+12,-56,128,-1056,Desk Work
1.43877E+12,-64,128,-1064,Desk Work
1.43877E+12,-80,144,-1056,Desk Work
1.43877E+12,-80,88,-1088,Desk Work
1.43877E+12,-72,40,-1104,Desk Work
1.43877E+12,-64,40,-1104,Desk Work
1.43877E+12,-64,48,-1088,Desk Work
1.43877E+12,-48,72,-1072,Desk Work
1.43877E+12,-48,72,-1080,Desk Work
1.43877E+12,-40,72,-1080,Desk Work
1.43877E+12,-48,72,-1080,Desk Work
1.43877E+12,-48,88,-1072,Desk Work
1.43877E+12,-56,72,-1080,Desk Work
1.43877E+12,-48,72,-1088,Desk Work
1.43877E+12,-40,56,-1072,Desk Work
1.43877E+12,-40,56,-1088,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-40,72,-1072,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-40,72,-1072,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-40,72,-1080,Desk Work
1.43877E+12,-40,80,-1080,Desk Work
1.43877E+12,-40,72,-1088,Desk Work
1.43877E+12,-32,80,-1072,Desk Work
1.43877E+12,-40,72,-1080,Desk Work
1.43877E+12,-40,72,-1072,Desk Work
1.43877E+12,-40,80,-1080,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-40,56,-1080,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-40,72,-1072,Desk Work
1.43877E+12,-32,64,-1072,Desk Work
1.43877E+12,-32,64,-1072,Desk Work
1.43877E+12,-24,64,-1072,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-32,64,-1064,Desk Work
1.43877E+12,-32,64,-1072,Desk Work
1.43877E+12,-32,64,-1080,Desk Work
1.43877E+12,-32,64,-1072,Desk Work
1.43877E+12,-40,72,-1072,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-48,80,-1080,Desk Work
1.43877E+12,-40,80,-1064,Desk Work
1.43877E+12,-40,56,-1096,Desk Work
1.43877E+12,-40,48,-1088,Desk Work
1.43877E+12,-32,72,-1080,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-40,56,-1080,Desk Work
1.43877E+12,-40,56,-1072,Desk Work
1.43877E+12,-32,64,-1080,Desk Work
1.43877E+12,-40,64,-1080,Desk Work
1.43877E+12,-32,64,-1072,Desk Work
1.43877E+12,-32,56,-1072,Desk Work
1.43877E+12,-32,64,-1080,Desk Work
1.43877E+12,-32,64,-1088,Desk Work
1.43877E+12,-40,64,-1072,Desk Work
1.43877E+12,-40,64,-1064,Desk Work
1.43877E+12,-32,64,-1080,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-32,64,-1080,Desk Work
1.43877E+12,-40,64,-1088,Desk Work
1.43877E+12,-40,64,-1064,Desk Work
1.43877E+12,-40,72,-1088,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-32,64,-1064,Desk Work
1.43877E+12,-40,72,-1064,Desk Work
1.43877E+12,-40,80,-1064,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-32,80,-1072,Desk Work
1.43877E+12,-32,88,-1080,Desk Work
1.43877E+12,-32,80,-1080,Desk Work
1.43877E+12,-32,72,-1072,Desk Work
1.43877E+12,-32,64,-1088,Desk Work
1.43877E+12,-16,104,-1128,Desk Work
1.43877E+12,-48,48,-1136,Desk Work
1.43877E+12,-24,96,-1120,Desk Work
1.43877E+12,520,240,-1000,Desk Work
1.43877E+12,352,96,-1136,Desk Work
1.43877E+12,136,8,-1120,Desk Work
1.43877E+12,48,56,-1032,Desk Work
1.43877E+12,8,40,-968,Desk Work
1.43877E+12,-16,24,-856,Desk Work
1.43877E+12,-72,80,-976,Desk Work
1.43877E+12,-40,80,-1008,Desk Work
1.43877E+12,-40,112,-992,Desk Work
1.43877E+12,24,136,-1088,Desk Work
1.43877E+12,40,168,-1064,Desk Work
1.43877E+12,48,240,-1008,Desk Work
1.43877E+12,176,368,-1512,Desk Work
1.43877E+12,184,256,-864,Desk Work
1.43877E+12,160,136,-1160,Desk Work
1.43877E+12,144,112,-1056,Desk Work
1.43877E+12,128,144,-1072,Desk Work
1.43877E+12,120,216,-1048,Desk Work
1.43877E+12,112,240,-1056,Desk Work
1.43877E+12,104,240,-1056,Desk Work
1.43877E+12,96,232,-1064,Desk Work
1.43877E+12,104,248,-1056,Desk Work
1.43877E+12,96,264,-1048,Desk Work
1.43877E+12,96,264,-1048,Desk Work
1.43877E+12,104,264,-1056,Desk Work
1.43877E+12,144,152,-1184,Desk Work
1.43877E+12,176,104,-1168,Desk Work
1.43877E+12,96,72,-1128,Desk Work
1.43877E+12,24,112,-1112,Desk Work
1.43877E+12,-24,152,-1080,Desk Work
1.43877E+12,-96,168,-1096,Desk Work
1.43877E+12,-128,176,-1008,Desk Work
1.43877E+12,-144,136,-1000,Desk Work
1.43877E+12,-80,176,-1064,Desk Work
1.43877E+12,-64,104,-1008,Desk Work
1.43877E+12,-32,32,-976,Desk Work
1.43877E+12,16,40,-976,Desk Work
1.43877E+12,72,8,-1048,Desk Work
1.43877E+12,152,8,-1104,Desk Work
1.43877E+12,152,16,-1096,Desk Work
1.43877E+12,152,-16,-992,Desk Work
1.43877E+12,160,-32,-1160,Desk Work
1.43877E+12,176,0,-1104,Desk Work
1.43877E+12,112,24,-984,Desk Work
1.43877E+12,40,64,-1088,Desk Work
1.43877E+12,0,104,-1080,Desk Work
1.43877E+12,16,80,-1048,Desk Work
1.43877E+12,0,56,-1088,Desk Work
1.43877E+12,-8,56,-1064,Desk Work
1.43877E+12,-8,32,-1072,Desk Work
1.43877E+12,-40,72,-1096,Desk Work
1.43877E+12,-8,104,-1040,Desk Work
1.43877E+12,8,48,-1112,Desk Work
1.43877E+12,16,16,-1096,Desk Work
1.43877E+12,-16,16,-1072,Desk Work
1.43877E+12,-40,-32,-1112,Desk Work
1.43877E+12,-8,64,-1016,Desk Work
1.43877E+12,8,-8,-1056,Desk Work
1.43877E+12,0,-96,-1184,Desk Work
1.43877E+12,8,-144,-1152,Desk Work
