Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43878E+12,400,784,-1632,Jogging
1.43878E+12,456,808,-1552,Jogging
1.43878E+12,440,800,-1368,Jogging
1.43878E+12,368,840,-1032,Jogging
1.43878E+12,344,880,-872,Jogging
1.43878E+12,320,896,-888,Jogging
1.43878E+12,280,880,-608,Jogging
1.43878E+12,192,856,-376,Jogging
1.43878E+12,56,888,-184,Jogging
1.43878E+12,0,816,88,Jogging
1.43878E+12,-96,904,64,Jogging
1.43878E+12,-48,888,80,Jogging
1.43878E+12,-72,880,272,Jogging
1.43878E+12,24,928,360,Jogging
1.43878E+12,56,968,184,Jogging
1.43878E+12,-8,1064,144,Jogging
1.43878E+12,-56,1048,208,Jogging
1.43878E+12,-96,1128,248,Jogging
1.43878E+12,-136,1096,184,Jogging
1.43878E+12,-160,768,-48,Jogging
1.43878E+12,-320,536,216,Jogging
1.43878E+12,-320,384,-96,Jogging
1.43878E+12,-280,624,32,Jogging
1.43878E+12,-248,768,-152,Jogging
1.43878E+12,-128,752,128,Jogging
1.43878E+12,88,840,400,Jogging
1.43878E+12,104,904,160,Jogging
1.43878E+12,112,824,448,Jogging
1.43878E+12,-48,1264,368,Jogging
1.43878E+12,-448,1632,400,Jogging
1.43878E+12,-80,1648,-472,Jogging
1.43878E+12,352,1712,-544,Jogging
1.43878E+12,656,1224,-504,Jogging
1.43878E+12,928,656,-304,Jogging
1.43878E+12,904,320,96,Jogging
1.43878E+12,760,136,88,Jogging
1.43878E+12,552,-56,200,Jogging
1.43878E+12,440,-80,184,Jogging
1.43878E+12,712,-184,40,Jogging
1.43878E+12,1992,80,432,Jogging
1.43878E+12,2416,792,-336,Jogging
1.43878E+12,2368,832,-728,Jogging
1.43878E+12,1600,848,-544,Jogging
1.43878E+12,624,816,-768,Jogging
1.43878E+12,-664,680,-1112,Jogging
1.43878E+12,-752,640,-816,Jogging
1.43878E+12,-496,672,-488,Jogging
1.43878E+12,144,1048,-480,Jogging
1.43878E+12,1552,2040,152,Jogging
1.43878E+12,2552,1800,16,Jogging
1.43878E+12,2456,1440,624,Jogging
1.43878E+12,1744,768,344,Jogging
1.43878E+12,1056,-24,192,Jogging
1.43878E+12,712,-536,184,Jogging
1.43878E+12,480,-688,-32,Jogging
1.43878E+12,344,-584,-368,Jogging
1.43878E+12,680,-1104,-1400,Jogging
1.43878E+12,1536,1488,808,Jogging
1.43878E+12,2808,928,-584,Jogging
1.43878E+12,2160,1464,-48,Jogging
1.43878E+12,1584,1328,232,Jogging
1.43878E+12,560,920,8,Jogging
1.43878E+12,-152,592,-224,Jogging
1.43878E+12,-600,392,-272,Jogging
1.43878E+12,-712,224,-240,Jogging
1.43878E+12,-584,400,-392,Jogging
1.43878E+12,16,1544,-528,Jogging
