Time(ms),X(mG),Y(mG),Z(mG),Classification
,-2648,1712,1480,Jumping Jacks
,-3360,2896,3536,Jumping Jacks
,-3304,3488,2096,Jumping Jacks
,-2504,3784,2448,Jumping Jacks
,-1664,3216,1536,Jumping Jacks
,-1440,2288,1000,Jumping Jacks
,-1976,1848,2072,Jumping Jacks
,-2640,1648,2448,Jumping Jacks
,-3320,1720,3888,Jumping Jacks
,-3704,1984,2880,Jumping Jacks
,-3816,1824,2328,Jumping Jacks
,-3568,880,-712,Jumping Jacks
,-3312,-1208,-3192,Jumping Jacks
,-3256,-2648,-3472,Jumping Jacks
,-3560,-2784,-1824,Jumping Jacks
,-3824,-1192,496,Jumping Jacks
,-3952,168,2912,Jumping Jacks
,-4008,776,3312,Jumping Jacks
,-4040,928,4080,Jumping Jacks
,-3952,1368,3152,Jumping Jacks
,-3544,1072,4000,Jumping Jacks
,-2408,1752,3056,Jumping Jacks
,-1408,2536,4080,Jumping Jacks
,-1952,3304,3320,Jumping Jacks
,-2576,3632,3432,Jumping Jacks
,-2296,3104,2384,Jumping Jacks
,-1424,2520,1744,Jumping Jacks
,-1496,1768,1856,Jumping Jacks
,-2000,1440,2136,Jumping Jacks
,-2720,1536,2816,Jumping Jacks
,-3360,1696,2904,Jumping Jacks
,-3632,1736,2944,Jumping Jacks
,-3504,1568,1920,Jumping Jacks
,-3112,672,-208,Jumping Jacks
,-3304,-1416,-2728,Jumping Jacks
,-3056,-2744,-3272,Jumping Jacks
,-3536,-2584,-2592,Jumping Jacks
,-3808,-1584,1048,Jumping Jacks
,-3944,-80,3576,Jumping Jacks
,-3768,424,4080,Jumping Jacks
,-3256,448,3968,Jumping Jacks
,-2896,488,2888,Jumping Jacks
,-2536,632,2680,Jumping Jacks
,-2064,1240,1984,Jumping Jacks
,-1656,2080,2496,Jumping Jacks
,-2480,3080,2672,Jumping Jacks
,-3064,3576,1424,Jumping Jacks
,-2880,3288,1776,Jumping Jacks
,-1824,2888,1408,Jumping Jacks
,-1368,2368,1384,Jumping Jacks
,-2016,1896,2008,Jumping Jacks
,-2488,1560,1616,Jumping Jacks
,-2760,1280,2408,Jumping Jacks
,-2912,1112,2304,Jumping Jacks
,-3000,944,2608,Jumping Jacks
,-2640,656,1408,Jumping Jacks
,-2128,8,-712,Jumping Jacks
,-2304,-1568,-4056,Jumping Jacks
,-2576,-2824,-3952,Jumping Jacks
,-3328,-2552,-912,Jumping Jacks
,-3704,-1120,2904,Jumping Jacks
,-3888,-48,4024,Jumping Jacks
,-3552,320,4048,Jumping Jacks
,-3264,552,3048,Jumping Jacks
,-3104,736,2728,Jumping Jacks
,-2728,1080,2320,Jumping Jacks
,-2072,1864,2448,Jumping Jacks
,-2504,2968,2312,Jumping Jacks
,-3136,3528,3112,Jumping Jacks
,-3112,3800,2256,Jumping Jacks
,-2320,3200,2040,Jumping Jacks
,-1928,2432,1440,Jumping Jacks
,-2416,1904,1744,Jumping Jacks
,-3000,1456,2296,Jumping Jacks
,-3536,1384,2904,Jumping Jacks
,-3808,1480,3072,Jumping Jacks
,-3840,1168,1496,Jumping Jacks
,-3256,904,144,Jumping Jacks
,-2792,56,-1680,Jumping Jacks
,-2912,-1264,-4080,Jumping Jacks
,-2976,-2568,-4024,Jumping Jacks
,-3528,-3064,-136,Jumping Jacks
,-3800,-480,3616,Jumping Jacks
,-3944,512,4024,Jumping Jacks
,-4008,1752,3448,Jumping Jacks
,-4040,2384,3320,Jumping Jacks
,-3824,2480,2272,Jumping Jacks
,-3312,2688,1920,Jumping Jacks
,-2008,2976,2584,Jumping Jacks
,-1496,3528,2224,Jumping Jacks
,-2288,3800,2968,Jumping Jacks
,-3184,3944,2056,Jumping Jacks
,-3008,3232,608,Jumping Jacks
,-2632,2632,1080,Jumping Jacks
,-2840,2112,1120,Jumping Jacks
,-3112,1888,1656,Jumping Jacks
,-3432,2144,2192,Jumping Jacks
,-3744,2336,2280,Jumping Jacks
,-3520,2248,2112,Jumping Jacks
,-3120,1648,832,Jumping Jacks
,-3360,264,-2032,Jumping Jacks
,-3640,-1912,-4048,Jumping Jacks
,-3640,-2856,-2536,Jumping Jacks
,-3856,-2464,-912,Jumping Jacks
,-3968,-864,3320,Jumping Jacks
,-4024,504,3888,Jumping Jacks
,-4048,920,4080,Jumping Jacks
,-4064,1456,3416,Jumping Jacks
,-3600,1776,2680,Jumping Jacks
,-3088,1760,2488,Jumping Jacks
,-2120,2192,2560,Jumping Jacks
,-1768,3128,2472,Jumping Jacks
,-2920,3600,2656,Jumping Jacks
,-3488,3840,200,Jumping Jacks
,-2904,3912,1280,Jumping Jacks
,-2200,2824,1088,Jumping Jacks
,-2184,2144,1328,Jumping Jacks
,-2800,1712,1992,Jumping Jacks
,-3440,1808,2488,Jumping Jacks
,-3760,2104,2720,Jumping Jacks
,-3920,2056,2408,Jumping Jacks
,-3752,1672,1808,Jumping Jacks
,-3392,728,-832,Jumping Jacks
,-3320,-912,-3480,Jumping Jacks
