Time(ms),X(mG),Y(mG),Z(mG),Classification
,216,-40,-1000,Situps
,232,16,-1016,Situps
,224,128,-1016,Situps
,232,136,-1048,Situps
,224,104,-1000,Situps
,208,136,-1000,Situps
,216,136,-984,Situps
,248,120,-864,Situps
,328,120,-928,Situps
,416,248,-888,Situps
,480,256,-928,Situps
,536,256,-896,Situps
,536,248,-888,Situps
,552,288,-848,Situps
,568,328,-784,Situps
,568,320,-736,Situps
,624,344,-712,Situps
,648,392,-640,Situps
,632,368,-608,Situps
,656,336,-624,Situps
,656,280,-560,Situps
,680,304,-432,Situps
,752,384,-360,Situps
,752,360,-264,Situps
,768,280,-64,Situps
,808,328,56,Situps
,840,376,112,Situps
,912,432,304,Situps
,912,480,456,Situps
,920,488,400,Situps
,944,488,488,Situps
,944,488,584,Situps
,936,472,536,Situps
,928,488,464,Situps
,928,488,440,Situps
,928,456,384,Situps
,928,456,280,Situps
,920,448,208,Situps
,912,440,136,Situps
,920,432,112,Situps
,880,440,64,Situps
,864,448,-96,Situps
,888,448,-184,Situps
,872,448,-152,Situps
,824,440,-208,Situps
,840,480,-312,Situps
,840,480,-312,Situps
,840,432,-408,Situps
,832,400,-440,Situps
,736,336,-464,Situps
,704,320,-560,Situps
,696,256,-552,Situps
,704,264,-648,Situps
,664,304,-736,Situps
,632,288,-752,Situps
,616,288,-872,Situps
,600,248,-944,Situps
,504,152,-688,Situps
,496,152,-984,Situps
,464,64,-976,Situps
,464,0,-912,Situps
,408,48,-1232,Situps
,296,16,-904,Situps
,240,104,-1096,Situps
,200,88,-976,Situps
,160,-56,-1096,Situps
,136,-112,-1232,Situps
,128,-96,-976,Situps
,136,-72,-992,Situps
,144,-72,-1056,Situps
,72,-88,-1184,Situps
,-24,-208,-1488,Situps
,-64,-336,-1232,Situps
,-104,-232,-1120,Situps
,-136,-144,-1192,Situps
,-136,-144,-1152,Situps
,-144,-224,-1192,Situps
,-128,-192,-1208,Situps
,-64,-232,-1160,Situps
,24,-232,-1120,Situps
,56,-248,-1080,Situps
,120,-120,-1040,Situps
,168,24,-1088,Situps
,176,104,-1184,Situps
,224,136,-1096,Situps
,248,168,-1000,Situps
,264,184,-920,Situps
,280,208,-832,Situps
,288,232,-832,Situps
,368,240,-864,Situps
,408,256,-832,Situps
,448,256,-832,Situps
,480,296,-720,Situps
,544,344,-720,Situps
,600,336,-712,Situps
,640,408,-664,Situps
,696,360,-536,Situps
,704,272,-528,Situps
,696,344,-424,Situps
,672,376,-296,Situps
,776,288,-272,Situps
,760,232,32,Situps
,744,336,72,Situps
,864,408,40,Situps
,936,384,328,Situps
,992,496,360,Situps
,992,520,352,Situps
,960,504,488,Situps
,880,472,488,Situps
,864,408,512,Situps
,792,456,464,Situps
,912,488,520,Situps
,896,520,480,Situps
,880,520,432,Situps
,888,464,336,Situps
,920,416,312,Situps
,936,440,208,Situps
,936,456,192,Situps
,912,472,112,Situps
,896,472,16,Situps
,880,408,0,Situps
,888,392,-32,Situps
,904,392,-112,Situps
,912,416,-168,Situps
,904,424,-152,Situps
,880,408,-232,Situps
,880,416,-184,Situps
,840,432,-176,Situps
,832,392,-304,Situps
,824,352,-368,Situps
,856,344,-440,Situps
,880,352,-440,Situps
,896,312,-424,Situps
,896,304,-472,Situps
,880,312,-488,Situps
,840,296,-608,Situps
,776,280,-568,Situps
,712,248,-520,Situps
,680,200,-480,Situps
,752,240,-648,Situps
,704,312,-656,Situps
,696,328,-912,Situps
,632,336,-824,Situps
,536,232,-872,Situps
,520,168,-952,Situps
,480,160,-928,Situps
,432,120,-944,Situps
,408,80,-960,Situps
,392,56,-944,Situps
,328,24,-936,Situps
,288,-72,-1112,Situps
,248,-80,-968,Situps
,160,8,-1016,Situps
,168,104,-968,Situps
,160,88,-1056,Situps
,216,32,-1184,Situps
,176,-176,-1336,Situps
,8,-192,-1440,Situps
,-48,-64,-1248,Situps
,-80,-16,-1104,Situps
,-160,-24,-1000,Situps
,-136,-72,-1104,Situps
,-104,-136,-1208,Situps
,-168,-152,-1224,Situps
,-192,-280,-1464,Situps
,-168,-96,-968,Situps
,40,160,-936,Situps
,184,216,-984,Situps
,320,256,-992,Situps
,352,176,-1096,Situps
,272,144,-984,Situps
,216,152,-1000,Situps
,264,128,-1072,Situps
,328,80,-1016,Situps
,368,72,-1056,Situps
,360,72,-992,Situps
