Time (s),X(mG),Y(mG),Z(mG),Classification
2.36,1216,400,-136,Walking
2.4,1128,472,-40,Walking
2.44,1000,608,-232,Walking
2.48,920,616,-288,Walking
2.52,1048,544,-224,Walking
2.56,1240,328,-128,Walking
2.6,1248,176,-184,Walking
2.64,1160,104,-256,Walking
2.68,1032,80,-256,Walking
2.72,856,104,-264,Walking
2.76,704,120,-248,Walking
2.8,584,96,-248,Walking
2.84,536,112,-312,Walking
2.88,568,168,-352,Walking
2.92,656,240,-392,Walking
2.96,696,256,-440,Walking
3,792,240,-360,Walking
3.04,960,296,-304,Walking
3.08,1128,408,-304,Walking
3.12,1160,464,-184,Walking
3.16,1168,512,-224,Walking
3.2,1248,528,-208,Walking
3.24,1144,416,-200,Walking
3.28,1000,376,-264,Walking
3.32,920,368,-272,Walking
3.36,840,352,-192,Walking
3.4,800,328,-168,Walking
3.44,776,288,-168,Walking
3.48,824,264,-160,Walking
3.52,896,256,-128,Walking
3.56,896,232,-128,Walking
3.6,880,216,-200,Walking
3.64,976,232,-216,Walking
3.68,1040,240,-288,Walking
3.72,1056,192,-296,Walking
3.76,1008,136,-232,Walking
3.8,992,80,-160,Walking
3.84,920,88,-104,Walking
3.88,848,152,-96,Walking
3.92,808,240,-168,Walking
3.96,744,288,-184,Walking
4,736,312,-264,Walking
4.04,752,320,-256,Walking
4.08,768,336,-288,Walking
4.12,800,352,-424,Walking
4.16,864,360,-472,Walking
4.2,976,336,-488,Walking
4.24,1072,272,-448,Walking
4.28,1232,248,-416,Walking
4.32,1344,248,-400,Walking
4.36,1272,232,-216,Walking
4.4,1112,256,-112,Walking
4.44,1032,296,-160,Walking
4.48,1016,352,-72,Walking
4.52,912,352,0,Walking
4.56,856,304,16,Walking
4.6,792,288,16,Walking
4.64,800,296,24,Walking
4.68,808,304,0,Walking
4.72,800,288,-40,Walking
4.76,816,280,-32,Walking
4.8,864,256,-56,Walking
4.84,888,240,-192,Walking
4.88,960,168,-344,Walking
4.92,1016,88,-280,Walking
4.96,1056,112,-304,Walking
5,920,208,-488,Walking
5.04,896,272,-384,Walking
5.08,960,264,-224,Walking
5.12,928,240,-240,Walking
5.16,904,264,-280,Walking
5.2,856,304,-280,Walking
5.24,824,344,-264,Walking
5.28,824,376,-280,Walking
5.32,824,400,-304,Walking
5.36,816,392,-328,Walking
5.4,872,360,-368,Walking
5.44,960,320,-296,Walking
5.48,1008,272,-240,Walking
5.52,1096,272,-184,Walking
5.56,1136,304,-112,Walking
5.6,1088,360,-64,Walking
5.64,1032,400,-56,Walking
5.68,1056,432,-8,Walking
5.72,1080,456,16,Walking
5.76,1064,408,32,Walking
5.8,1000,312,24,Walking
5.84,952,240,16,Walking
5.88,928,232,16,Walking
5.92,872,256,8,Walking
5.96,800,264,8,Walking
6,816,280,-24,Walking
6.04,864,272,-40,Walking
6.08,888,248,-120,Walking
6.12,944,200,-216,Walking
6.16,944,136,-224,Walking
6.2,1000,160,-288,Walking
6.24,952,176,-320,Walking
6.28,888,184,-352,Walking
6.32,960,192,-312,Walking
6.36,992,184,-312,Walking
6.4,1016,232,-256,Walking
6.44,968,336,-200,Walking
6.48,912,392,-240,Walking
6.52,840,416,-184,Walking
6.56,800,424,-240,Walking
6.6,784,400,-200,Walking
6.64,808,392,-296,Walking
6.68,872,336,-280,Walking
6.72,944,328,-256,Walking
6.76,1056,296,-232,Walking
6.8,1152,304,-192,Walking
6.84,1184,344,-144,Walking
6.88,1176,400,-128,Walking
6.92,1064,384,-40,Walking
6.96,1000,344,-24,Walking
7,1008,344,-64,Walking
7.04,1016,312,-72,Walking
7.08,952,256,-72,Walking
7.12,912,224,-64,Walking
7.16,856,248,-56,Walking
7.2,808,256,-128,Walking
7.24,768,240,-128,Walking
7.28,776,200,-160,Walking
7.32,800,176,-168,Walking
7.36,848,160,-216,Walking
7.4,888,136,-256,Walking
7.44,968,152,-168,Walking
7.48,1088,208,-112,Walking
7.52,1112,264,-168,Walking
7.56,1016,288,-144,Walking
7.6,952,328,-184,Walking
7.64,1016,296,-304,Walking
7.68,1032,256,-320,Walking
7.72,1000,320,-248,Walking
7.76,920,360,-328,Walking
7.8,824,384,-224,Walking
7.84,800,448,-392,Walking
7.88,752,472,-256,Walking
7.92,752,544,-272,Walking
7.96,832,368,-344,Walking
8,936,176,-360,Walking
8.04,1008,80,-288,Walking
8.08,1112,112,-280,Walking
8.12,1200,224,-256,Walking
8.16,1096,328,-144,Walking
8.2,1000,312,-136,Walking
8.24,976,288,-168,Walking
8.28,936,256,-192,Walking
8.32,904,232,-192,Walking
8.36,848,200,-160,Walking
8.4,792,232,-176,Walking
8.44,768,256,-160,Walking
8.48,760,240,-136,Walking
8.52,776,224,-112,Walking
8.56,816,208,-80,Walking
8.6,856,216,-144,Walking
8.64,920,224,-120,Walking
8.68,1008,232,-144,Walking
8.72,1104,256,-144,Walking
8.76,1176,320,-232,Walking
8.8,1080,368,-280,Walking
8.84,928,368,-256,Walking
8.88,928,416,-232,Walking
8.92,912,376,-264,Walking
8.96,936,376,-336,Walking
9,872,368,-400,Walking
9.04,840,368,-328,Walking
9.08,856,376,-288,Walking
9.12,872,328,-288,Walking
9.16,856,272,-352,Walking
9.2,896,256,-256,Walking
9.24,944,200,-152,Walking
9.28,960,232,-96,Walking
9.32,976,232,-72,Walking
9.36,1056,264,-80,Walking
9.4,1104,320,-120,Walking
9.44,1104,344,-176,Walking
9.48,936,256,-112,Walking
9.52,928,240,-144,Walking
9.56,960,232,-184,Walking
9.6,936,216,-144,Walking
9.64,912,208,-176,Walking
9.68,880,224,-152,Walking
9.72,872,240,-192,Walking
9.76,840,224,-176,Walking
9.8,832,200,-160,Walking
9.84,840,224,-184,Walking
9.88,888,240,-168,Walking
9.92,952,264,-160,Walking
9.96,1040,296,-192,Walking
10,1184,280,-128,Walking
10.04,1328,288,-88,Walking
10.08,1120,280,-96,Walking
10.12,920,240,-88,Walking
10.16,936,224,-16,Walking
10.2,976,224,-32,Walking
10.24,944,192,-56,Walking
10.28,848,192,-128,Walking
10.32,736,232,-232,Walking
10.36,680,264,-328,Walking
10.4,688,272,-328,Walking
10.44,712,248,-376,Walking
10.48,760,240,-448,Walking
10.52,800,272,-424,Walking
10.56,888,312,-424,Walking
10.6,944,296,-376,Walking
10.64,1064,288,-384,Walking
10.68,1168,328,-320,Walking
10.72,1128,312,-288,Walking
10.76,1032,304,-288,Walking
10.8,936,296,-280,Walking
10.84,912,288,-240,Walking
10.88,864,256,-240,Walking
10.92,880,232,-184,Walking
10.96,856,248,-176,Walking
11,864,256,-176,Walking
11.04,856,256,-176,Walking
11.08,816,280,-160,Walking
11.12,808,272,-184,Walking
11.16,832,256,-184,Walking
11.2,872,248,-184,Walking
11.24,912,232,-120,Walking
11.28,960,216,-152,Walking
11.32,1064,232,-184,Walking
11.36,1128,256,-168,Walking
11.4,1000,280,-296,Walking
11.44,864,240,-312,Walking
11.48,936,264,-168,Walking
11.52,984,240,-256,Walking
11.56,984,256,-176,Walking
11.6,880,304,-320,Walking
11.64,776,328,-288,Walking
11.68,720,376,-296,Walking
11.72,680,504,-240,Walking
11.76,656,552,-216,Walking
11.8,640,544,-168,Walking
11.84,672,512,-128,Walking
11.88,728,512,104,Walking
