Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43794E+12,888,344,-48,Jumping Jacks
1.43794E+12,776,256,-280,Jumping Jacks
1.43794E+12,648,184,-328,Jumping Jacks
1.43794E+12,456,256,-848,Jumping Jacks
1.43794E+12,728,224,-2096,Jumping Jacks
1.43794E+12,1392,400,-1928,Jumping Jacks
1.43794E+12,2296,1008,-2328,Jumping Jacks
1.43794E+12,3168,1152,-2224,Jumping Jacks
1.43794E+12,3120,1640,-1184,Jumping Jacks
1.43794E+12,2608,1584,-408,Jumping Jacks
1.43794E+12,1872,1216,-288,Jumping Jacks
1.43794E+12,1368,968,240,Jumping Jacks
1.43794E+12,1072,768,144,Jumping Jacks
1.43794E+12,920,864,280,Jumping Jacks
1.43794E+12,872,736,384,Jumping Jacks
1.43794E+12,816,712,224,Jumping Jacks
1.43794E+12,824,696,96,Jumping Jacks
1.43794E+12,936,688,256,Jumping Jacks
1.43794E+12,1120,208,-360,Jumping Jacks
1.43794E+12,712,-688,16,Jumping Jacks
1.43794E+12,328,-1992,-1384,Jumping Jacks
1.43794E+12,-152,-2936,-1000,Jumping Jacks
1.43794E+12,-464,-3016,-224,Jumping Jacks
1.43794E+12,-96,-2008,-256,Jumping Jacks
1.43794E+12,600,-760,288,Jumping Jacks
1.43794E+12,1184,56,232,Jumping Jacks
1.43794E+12,1456,528,0,Jumping Jacks
1.43794E+12,1448,792,64,Jumping Jacks
1.43794E+12,1480,616,224,Jumping Jacks
1.43794E+12,1720,824,-112,Jumping Jacks
1.43794E+12,1560,880,-80,Jumping Jacks
1.43794E+12,1480,784,-8,Jumping Jacks
1.43794E+12,1592,1040,-584,Jumping Jacks
1.43794E+12,2344,840,-1560,Jumping Jacks
1.43794E+12,3208,920,-3968,Jumping Jacks
1.43794E+12,3648,1808,-4080,Jumping Jacks
1.43794E+12,3368,632,-3792,Jumping Jacks
1.43794E+12,2832,704,-1960,Jumping Jacks
1.43794E+12,2168,752,-952,Jumping Jacks
1.43794E+12,1920,800,-176,Jumping Jacks
1.43794E+12,2008,824,-392,Jumping Jacks
1.43794E+12,2048,912,-88,Jumping Jacks
1.43794E+12,2200,976,184,Jumping Jacks
1.43794E+12,2240,1056,72,Jumping Jacks
1.43794E+12,2352,1088,288,Jumping Jacks
1.43794E+12,2264,848,256,Jumping Jacks
1.43794E+12,1952,-728,904,Jumping Jacks
1.43794E+12,288,-1848,712,Jumping Jacks
1.43794E+12,-288,-2960,1248,Jumping Jacks
1.43794E+12,-216,-2992,528,Jumping Jacks
1.43794E+12,184,-1936,456,Jumping Jacks
1.43794E+12,1136,-680,136,Jumping Jacks
1.43794E+12,1672,320,128,Jumping Jacks
1.43794E+12,2048,752,288,Jumping Jacks
1.43794E+12,2392,880,440,Jumping Jacks
1.43794E+12,2392,1048,200,Jumping Jacks
1.43794E+12,1984,984,-80,Jumping Jacks
1.43794E+12,1816,1008,-584,Jumping Jacks
1.43794E+12,1512,872,-1040,Jumping Jacks
1.43794E+12,1952,1256,-2320,Jumping Jacks
1.43794E+12,2680,1920,-4080,Jumping Jacks
1.43794E+12,3056,1152,-4080,Jumping Jacks
1.43794E+12,3568,1488,-2560,Jumping Jacks
1.43794E+12,3152,1208,-1696,Jumping Jacks
1.43794E+12,2368,1088,-1048,Jumping Jacks
1.43794E+12,2056,976,-296,Jumping Jacks
1.43794E+12,2056,1000,88,Jumping Jacks
1.43794E+12,2152,1040,176,Jumping Jacks
1.43794E+12,2256,1112,184,Jumping Jacks
1.43794E+12,2496,1296,368,Jumping Jacks
1.43794E+12,2624,1040,240,Jumping Jacks
1.43794E+12,2144,488,712,Jumping Jacks
1.43794E+12,736,-536,792,Jumping Jacks
1.43794E+12,432,-2312,288,Jumping Jacks
1.43794E+12,280,-3200,232,Jumping Jacks
1.43794E+12,208,-3096,1040,Jumping Jacks
1.43794E+12,608,-2040,152,Jumping Jacks
