Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43793E+12,904,-176,-576,Pushups
1.43793E+12,848,-240,-584,Pushups
1.43793E+12,848,-160,-568,Pushups
1.43793E+12,848,8,-616,Pushups
1.43793E+12,896,-48,-648,Pushups
1.43793E+12,992,-16,-448,Pushups
1.43793E+12,1008,16,-312,Pushups
1.43793E+12,1016,104,-208,Pushups
1.43793E+12,992,184,-360,Pushups
1.43793E+12,960,272,-320,Pushups
1.43793E+12,1024,232,-64,Pushups
1.43793E+12,1048,248,-312,Pushups
1.43793E+12,1088,48,-40,Pushups
1.43793E+12,1064,64,-264,Pushups
1.43793E+12,1056,72,-208,Pushups
1.43793E+12,1032,104,-328,Pushups
1.43793E+12,976,152,-320,Pushups
1.43793E+12,1016,72,-152,Pushups
1.43793E+12,1024,56,-280,Pushups
1.43793E+12,1016,80,-328,Pushups
1.43793E+12,1024,96,-256,Pushups
1.43793E+12,1016,56,-312,Pushups
1.43793E+12,1016,96,-272,Pushups
1.43793E+12,1024,144,-272,Pushups
1.43793E+12,1024,152,-288,Pushups
1.43793E+12,1024,144,-280,Pushups
1.43793E+12,1016,112,-224,Pushups
1.43793E+12,1000,152,-312,Pushups
1.43793E+12,984,136,-344,Pushups
1.43793E+12,992,64,-360,Pushups
1.43793E+12,944,104,-424,Pushups
1.43793E+12,952,8,-520,Pushups
1.43793E+12,880,64,-560,Pushups
1.43793E+12,928,32,-536,Pushups
1.43793E+12,832,-112,-624,Pushups
1.43793E+12,856,-296,-488,Pushups
1.43793E+12,824,-328,-600,Pushups
1.43793E+12,872,-320,-488,Pushups
1.43793E+12,880,-232,-576,Pushups
1.43793E+12,1048,-304,-576,Pushups
1.43793E+12,976,-16,-528,Pushups
1.43793E+12,1032,-96,-440,Pushups
1.43793E+12,880,112,-472,Pushups
1.43793E+12,944,168,-312,Pushups
1.43793E+12,840,320,-216,Pushups
1.43793E+12,1024,120,-144,Pushups
1.43793E+12,1064,200,-392,Pushups
1.43793E+12,1104,192,-16,Pushups
1.43793E+12,1024,224,-264,Pushups
1.43793E+12,1000,264,-184,Pushups
1.43793E+12,1032,72,-152,Pushups
1.43793E+12,1000,168,-392,Pushups
1.43793E+12,1016,112,-72,Pushups
1.43793E+12,1024,144,-208,Pushups
1.43793E+12,1008,168,-208,Pushups
1.43793E+12,1016,144,-232,Pushups
1.43793E+12,1016,152,-160,Pushups
1.43793E+12,1000,160,-256,Pushups
1.43793E+12,1008,184,-232,Pushups
1.43793E+12,1016,160,-296,Pushups
1.43793E+12,1000,240,-192,Pushups
1.43793E+12,1008,200,-288,Pushups
1.43793E+12,992,192,-328,Pushups
1.43793E+12,1016,160,-288,Pushups
1.43793E+12,1032,120,-392,Pushups
1.43793E+12,1032,32,-288,Pushups
1.43793E+12,992,104,-480,Pushups
1.43793E+12,976,24,-464,Pushups
1.43793E+12,912,8,-600,Pushups
1.43793E+12,896,-88,-496,Pushups
1.43793E+12,824,-248,-624,Pushups
1.43793E+12,816,-344,-624,Pushups
1.43793E+12,888,-360,-408,Pushups
1.43793E+12,896,-280,-496,Pushups
1.43793E+12,856,-264,-608,Pushups
1.43793E+12,904,-248,-416,Pushups
1.43793E+12,896,-320,-712,Pushups
1.43793E+12,888,-112,-528,Pushups
1.43793E+12,976,-160,-288,Pushups
1.43793E+12,1000,72,-504,Pushups
1.43793E+12,960,-72,-64,Pushups
1.43793E+12,1008,-184,-248,Pushups
1.43793E+12,952,232,-392,Pushups
1.43793E+12,1024,72,-72,Pushups
1.43793E+12,984,288,-320,Pushups
1.43793E+12,992,376,-136,Pushups
1.43793E+12,1000,232,-56,Pushups
1.43793E+12,1024,168,-224,Pushups
1.43793E+12,1032,176,-160,Pushups
1.43793E+12,1032,168,-160,Pushups
1.43793E+12,1040,128,-96,Pushups
1.43793E+12,1040,112,-128,Pushups
1.43793E+12,1032,136,-200,Pushups
1.43793E+12,1024,160,-160,Pushups
1.43793E+12,1016,176,-224,Pushups
1.43793E+12,1016,192,-160,Pushups
1.43793E+12,1000,208,-272,Pushups
1.43793E+12,1016,192,-288,Pushups
1.43793E+12,1024,168,-248,Pushups
1.43793E+12,1016,136,-272,Pushups
1.43793E+12,992,152,-320,Pushups
1.43793E+12,992,104,-304,Pushups
1.43793E+12,992,120,-416,Pushups
1.43793E+12,952,24,-432,Pushups
1.43793E+12,976,-88,-384,Pushups
1.43793E+12,952,-72,-584,Pushups
1.43793E+12,944,-152,-528,Pushups
1.43793E+12,904,-336,-560,Pushups
1.43793E+12,896,-368,-616,Pushups
1.43793E+12,912,-240,-432,Pushups
1.43793E+12,928,-248,-608,Pushups
1.43793E+12,904,-240,-560,Pushups
1.43793E+12,880,-296,-520,Pushups
1.43793E+12,880,-264,-568,Pushups
1.43793E+12,848,-160,-512,Pushups
1.43793E+12,864,-144,-560,Pushups
1.43793E+12,952,0,-600,Pushups
1.43793E+12,1000,-104,-336,Pushups
1.43793E+12,1136,160,-536,Pushups
1.43793E+12,1064,64,-328,Pushups
1.43793E+12,1096,88,-48,Pushups
1.43793E+12,968,200,-408,Pushups
1.43793E+12,1072,32,112,Pushups
1.43793E+12,1048,152,-272,Pushups
1.43793E+12,1056,176,-144,Pushups
1.43793E+12,1040,200,-208,Pushups
1.43793E+12,1032,184,-248,Pushups
1.43793E+12,1032,184,-192,Pushups
1.43793E+12,1032,168,-216,Pushups
1.43793E+12,1032,168,-32,Pushups
1.43793E+12,1024,152,-224,Pushups
