Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43793E+12,480,-488,1040,Situps
1.43793E+12,704,-512,608,Situps
1.43793E+12,672,-464,856,Situps
1.43793E+12,624,-400,1104,Situps
1.43793E+12,712,-296,936,Situps
1.43793E+12,664,-256,1016,Situps
1.43793E+12,552,-464,912,Situps
1.43793E+12,544,-384,992,Situps
1.43793E+12,528,-304,648,Situps
1.43793E+12,472,-360,792,Situps
1.43793E+12,592,-208,1024,Situps
1.43793E+12,696,-56,496,Situps
1.43793E+12,632,-248,288,Situps
1.43793E+12,616,8,1224,Situps
1.43793E+12,576,-160,1240,Situps
1.43793E+12,496,-176,768,Situps
1.43793E+12,376,-40,376,Situps
1.43793E+12,456,56,1024,Situps
1.43793E+12,440,-32,1104,Situps
1.43793E+12,440,160,1056,Situps
1.43793E+12,496,120,856,Situps
1.43793E+12,536,128,944,Situps
1.43793E+12,472,120,1112,Situps
1.43793E+12,408,176,1248,Situps
1.43793E+12,400,88,872,Situps
1.43793E+12,376,136,800,Situps
1.43793E+12,352,64,960,Situps
1.43793E+12,344,120,936,Situps
1.43793E+12,376,56,896,Situps
1.43793E+12,344,112,992,Situps
1.43793E+12,376,48,896,Situps
1.43793E+12,352,88,1096,Situps
1.43793E+12,368,72,1120,Situps
1.43793E+12,360,104,1152,Situps
1.43793E+12,376,56,1312,Situps
1.43793E+12,392,144,1480,Situps
1.43793E+12,472,120,1504,Situps
1.43793E+12,512,96,1600,Situps
1.43793E+12,560,0,1416,Situps
1.43793E+12,568,-96,1232,Situps
1.43793E+12,576,-160,1256,Situps
1.43793E+12,576,-264,872,Situps
1.43793E+12,480,-208,560,Situps
1.43793E+12,416,-272,304,Situps
1.43793E+12,336,-344,440,Situps
1.43793E+12,296,-448,24,Situps
1.43793E+12,296,-680,-16,Situps
1.43793E+12,296,-744,-88,Situps
1.43793E+12,160,-744,-296,Situps
1.43793E+12,80,-744,-376,Situps
1.43793E+12,-8,-776,-536,Situps
1.43793E+12,-152,-664,-640,Situps
1.43793E+12,-200,-720,-536,Situps
1.43793E+12,-240,-704,-568,Situps
1.43793E+12,-184,-696,-480,Situps
1.43793E+12,-152,-752,-376,Situps
1.43793E+12,-112,-688,-400,Situps
1.43793E+12,-128,-664,-496,Situps
1.43793E+12,-120,-664,-432,Situps
1.43793E+12,-152,-616,-584,Situps
1.43793E+12,-152,-688,-616,Situps
1.43793E+12,-184,-632,-664,Situps
1.43793E+12,-192,-568,-584,Situps
1.43793E+12,-208,-528,-800,Situps
1.43793E+12,-208,-472,-888,Situps
1.43793E+12,-224,-424,-984,Situps
1.43793E+12,-248,-384,-1072,Situps
1.43793E+12,-264,-352,-1160,Situps
1.43793E+12,-304,-336,-1256,Situps
1.43793E+12,-320,-320,-1296,Situps
1.43793E+12,-336,-296,-1288,Situps
1.43793E+12,-360,-296,-1240,Situps
1.43793E+12,-352,-296,-1272,Situps
1.43793E+12,-352,-320,-1272,Situps
1.43793E+12,-352,-336,-1224,Situps
1.43793E+12,-336,-336,-1112,Situps
1.43793E+12,-296,-360,-1056,Situps
1.43793E+12,-272,-376,-936,Situps
1.43793E+12,-240,-424,-864,Situps
1.43793E+12,-184,-448,-784,Situps
1.43793E+12,-152,-512,-664,Situps
1.43793E+12,-128,-512,-496,Situps
1.43793E+12,-88,-552,-328,Situps
1.43793E+12,-40,-560,-280,Situps
1.43793E+12,-24,-568,-296,Situps
1.43793E+12,-8,-624,-256,Situps
1.43793E+12,-16,-648,-304,Situps
1.43793E+12,-64,-648,-360,Situps
1.43793E+12,-88,-600,-440,Situps
1.43793E+12,-72,-672,-280,Situps
1.43793E+12,-80,-640,-96,Situps
1.43793E+12,0,-664,184,Situps
1.43793E+12,64,-720,136,Situps
1.43793E+12,176,-688,392,Situps
1.43793E+12,352,-624,816,Situps
1.43793E+12,464,-440,1056,Situps
1.43793E+12,680,-376,1208,Situps
1.43793E+12,600,-456,1216,Situps
1.43793E+12,1024,-320,2360,Situps
1.43793E+12,784,-288,1144,Situps
1.43793E+12,752,-112,1072,Situps
1.43793E+12,744,96,896,Situps
1.43793E+12,776,112,896,Situps
1.43793E+12,888,-16,696,Situps
1.43793E+12,872,48,664,Situps
1.43793E+12,848,104,832,Situps
1.43793E+12,880,88,744,Situps
1.43793E+12,880,96,848,Situps
1.43793E+12,920,8,992,Situps
1.43793E+12,968,96,1176,Situps
1.43793E+12,1024,72,1296,Situps
1.43793E+12,1208,-16,1512,Situps
1.43793E+12,1096,-32,1184,Situps
1.43793E+12,1032,-56,1160,Situps
1.43793E+12,872,-176,1152,Situps
1.43793E+12,672,-144,464,Situps
1.43793E+12,568,-376,264,Situps
1.43793E+12,480,-384,-72,Situps
1.43793E+12,400,-456,88,Situps
1.43793E+12,416,-688,40,Situps
1.43793E+12,352,-616,56,Situps
1.43793E+12,304,-688,-176,Situps
1.43793E+12,224,-784,-344,Situps
1.43793E+12,80,-736,-480,Situps
1.43793E+12,-72,-768,-472,Situps
1.43793E+12,-104,-864,-592,Situps
1.43793E+12,-136,-800,-464,Situps
1.43793E+12,-112,-840,-448,Situps
1.43793E+12,-104,-856,-448,Situps
1.43793E+12,-88,-792,-352,Situps
1.43793E+12,-80,-752,-360,Situps
1.43793E+12,-48,-736,-328,Situps
1.43793E+12,-32,-656,-488,Situps
1.43793E+12,-8,-744,-504,Situps
1.43793E+12,-16,-704,-504,Situps
1.43793E+12,-32,-720,-560,Situps
1.43793E+12,-56,-608,-624,Situps
1.43793E+12,-80,-584,-680,Situps
1.43793E+12,-104,-480,-688,Situps
1.43793E+12,-144,-480,-928,Situps
1.43793E+12,-152,-464,-1024,Situps
1.43793E+12,-176,-464,-1064,Situps
1.43793E+12,-192,-424,-1104,Situps
1.43793E+12,-208,-376,-1176,Situps
1.43793E+12,-216,-376,-1288,Situps
1.43793E+12,-248,-392,-1216,Situps
1.43793E+12,-264,-368,-1272,Situps
1.43793E+12,-264,-424,-1224,Situps
1.43793E+12,-264,-416,-1240,Situps
1.43793E+12,-264,-424,-1088,Situps
1.43793E+12,-248,-424,-1120,Situps
1.43793E+12,-232,-456,-1024,Situps
1.43793E+12,-224,-464,-896,Situps
1.43793E+12,-224,-464,-800,Situps
