Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774583256, +112,  +24,-1080,Staying Still
 1438774583297, +112,  +32,-1080,Staying Still
 1438774583338, +112,   +8,-1080,Staying Still
 1438774583379, +120,  +16,-1072,Staying Still
 1438774583420, +112,  +16,-1072,Staying Still
 1438774583461, +112,   +8,-1080,Staying Still
 1438774583502, +112,   +8,-1080,Staying Still
 1438774583543, +120,   +8,-1080,Staying Still
 1438774583584, +120,   +8,-1056,Staying Still
 1438774583625, +104,  +16,-1072,Staying Still
 1438774583666, +104,  +16,-1064,Staying Still
 1438774583707, +112,  +16,-1048,Staying Still
 1438774583748, +112,  +32,-1080,Staying Still
 1438774583789,  +96,  +24,-1072,Staying Still
 1438774583830, +112,  +32,-1080,Staying Still
 1438774583871, +112,  +24,-1112,Staying Still
 1438774583912, +120,  +32,-1072,Staying Still
 1438774583953,  +96,  +32,-1096,Staying Still
 1438774583994, +104,  +24,-1072,Staying Still
 1438774584035, +120,  +24,-1064,Staying Still
 1438774584076, +128,  +32,-1088,Staying Still
 1438774584117, +120,  +24,-1088,Staying Still
 1438774584158, +120,  +24,-1088,Staying Still
 1438774584199, +120,  +16,-1080,Staying Still
 1438774584240, +112,  +16,-1072,Staying Still
 1438774584281, +112,  +16,-1080,Staying Still
 1438774584322, +128,  +24,-1072,Staying Still
 1438774584363, +128,  +16,-1080,Staying Still
 1438774584404, +120,  +24,-1072,Staying Still
 1438774584445, +120,  +24,-1072,Staying Still
 1438774584486, +128,  +24,-1072,Staying Still
 1438774584527, +120,  +16,-1072,Staying Still
 1438774584568, +120,  +32,-1072,Staying Still
 1438774584609, +120,  +24,-1080,Staying Still
 1438774584650, +120,  +16,-1080,Staying Still
 1438774584691, +112,  +24,-1072,Staying Still
 1438774584732, +112,  +32,-1080,Staying Still
 1438774584773, +120,  +24,-1064,Staying Still
 1438774584814, +120,  +24,-1064,Staying Still
 1438774584855, +120,  +16,-1072,Staying Still
 1438774584896, +120,  +24,-1056,Staying Still
 1438774584937, +112,  +24,-1088,Staying Still
 1438774584978, +120,  +24,-1064,Staying Still
 1438774585019, +120,  +24,-1088,Staying Still
 1438774585060, +112,  +24,-1080,Staying Still
 1438774585101, +112,  +32,-1072,Staying Still
 1438774585142, +112,  +24,-1080,Staying Still
 1438774585183, +120,  +24,-1080,Staying Still
 1438774585224, +128,  +32,-1072,Staying Still
 1438774585265, +120,  +40,-1080,Staying Still
 1438774585306, +112,  +32,-1072,Staying Still
 1438774585347, +120,  +24,-1080,Staying Still
 1438774585388, +128,  +24,-1072,Staying Still
 1438774585429, +112,  +24,-1080,Staying Still
 1438774585470, +120,  +16,-1064,Staying Still
 1438774585511, +120,  +24,-1072,Staying Still
 1438774585552, +120,  +32,-1072,Staying Still
 1438774585593, +120,  +32,-1088,Staying Still
 1438774585634, +120,  +40,-1080,Staying Still
 1438774585675, +120,  +32,-1072,Staying Still
 1438774585716, +112,  +32,-1072,Staying Still
 1438774585757, +112,  +32,-1072,Staying Still
 1438774585798, +112,  +32,-1080,Staying Still
 1438774585839, +120,  +32,-1080,Staying Still
 1438774585880, +120,  +32,-1080,Staying Still
 1438774585921, +112,  +32,-1080,Staying Still
 1438774585962, +112,  +32,-1072,Staying Still
 1438774586003, +120,  +32,-1072,Staying Still
 1438774586044, +120,  +32,-1040,Staying Still
 1438774586085, +120,  +32,-1072,Staying Still
 1438774586126, +120,  +32,-1072,Staying Still
 1438774586167, +120,  +24,-1072,Staying Still
 1438774586208, +120,  +32,-1072,Staying Still
 1438774586249, +128,  +32,-1072,Staying Still
 1438774586290, +120,  +32,-1080,Staying Still
 1438774586331, +120,  +32,-1080,Staying Still
 1438774586372, +120,  +40,-1080,Staying Still
 1438774586413, +112,  +32,-1072,Staying Still
 1438774586454, +120,  +24,-1072,Staying Still
 1438774586495, +112,  +56,-1072,Staying Still
 1438774586536, +104,  +32,-1056,Staying Still
 1438774586577, +120,  +32,-1072,Staying Still
 1438774586618, +112,  +32,-1072,Staying Still
 1438774586659, +120,  +32,-1056,Staying Still
 1438774586700, +120,  +32,-1072,Staying Still
 1438774586741, +120,  +32,-1072,Staying Still
 1438774586782, +120,  +24,-1072,Staying Still
 1438774586823, +120,  +24,-1056,Staying Still
 1438774586864, +120,  +16,-1080,Staying Still
 1438774586905, +120,  +40,-1064,Staying Still
 1438774586946, +120,  +32,-1056,Staying Still
 1438774586987, +120,  +32,-1072,Staying Still
 1438774587028, +128,  +24,-1072,Staying Still
 1438774587069, +120,  +24,-1072,Staying Still
 1438774587110, +120,  +24,-1072,Staying Still
 1438774587151, +120,  +24,-1080,Staying Still
 1438774587192, +120,  +32,-1080,Staying Still
 1438774587233, +112,  +32,-1080,Staying Still
 1438774587274, +112,  +32,-1072,Staying Still
 1438774587315, +112,  +24,-1080,Staying Still
 1438774587356, +120,  +32,-1064,Staying Still
 1438774587397, +112,  +24,-1072,Staying Still
 1438774587438, +120,  +32,-1040,Staying Still
 1438774587479, +112,   +0,-1088,Staying Still
 1438774587520, +120,  +24,-1056,Staying Still
 1438774587561, +112,  +24,-1088,Staying Still
 1438774587602, +112,  +24,-1072,Staying Still
 1438774587643, +112,  +24,-1064,Staying Still
 1438774587684, +112,  +32,-1072,Staying Still
 1438774587725, +120,  +32,-1072,Staying Still
 1438774587766, +128,  +32,-1088,Staying Still
 1438774587807, +128,  +32,-1064,Staying Still
 1438774587848, +120,  +32,-1080,Staying Still
 1438774587889, +120,  +32,-1072,Staying Still
 1438774587930, +112,  +40,-1064,Staying Still
