Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774846796,+1032, +160,   -8,Staying Still
 1438774846836,+1048, +184,  +16,Staying Still
 1438774846876,+1032, +192,  -16,Staying Still
 1438774846916,+1040, +192,   -8,Staying Still
 1438774846956,+1032, +184,  -48,Staying Still
 1438774846996,+1008, +200,   -8,Staying Still
 1438774847036,+1016, +184,   +8,Staying Still
 1438774847076,+1040, +160,  -16,Staying Still
 1438774847116,+1048, +160,   +8,Staying Still
 1438774847156,+1040, +152,   +8,Staying Still
 1438774847196,+1048, +144,   -8,Staying Still
 1438774847236,+1032, +168,   -8,Staying Still
 1438774847276,+1032, +168,  -16,Staying Still
 1438774847316,+1032, +184,   -8,Staying Still
 1438774847356,+1032, +176,  -40,Staying Still
 1438774847396,+1032, +184,   +0,Staying Still
 1438774847436,+1024, +176,   +0,Staying Still
 1438774847476,+1016, +160,  -24,Staying Still
 1438774847516,+1024, +184,  -24,Staying Still
 1438774847556,+1024, +176,   -8,Staying Still
 1438774847596,+1024, +184,  -24,Staying Still
 1438774847636,+1024, +184,  -32,Staying Still
 1438774847676,+1040, +200,  -40,Staying Still
 1438774847716,+1040, +208,  -48,Staying Still
 1438774847756,+1032, +200,   -8,Staying Still
 1438774847796,+1024, +192,  -24,Staying Still
 1438774847836,+1024, +192,  -24,Staying Still
 1438774847876,+1024, +184,  -56,Staying Still
 1438774847916,+1016, +192,   +0,Staying Still
 1438774847956,+1032, +168,   +8,Staying Still
 1438774847996,+1032, +160,  -16,Staying Still
 1438774848036,+1048, +168,  -16,Staying Still
 1438774848076,+1024, +168,   -8,Staying Still
 1438774848116,+1016, +168,  -24,Staying Still
 1438774848156,+1016, +168,  -48,Staying Still
 1438774848196,+1032, +168,  -48,Staying Still
 1438774848236,+1024, +184,  -48,Staying Still
 1438774848276,+1016, +192,  +16,Staying Still
 1438774848316,+1032, +192,  -48,Staying Still
 1438774848356,+1032, +176,  -56,Staying Still
 1438774848396,+1024, +176,  -48,Staying Still
 1438774848436,+1008, +176,  -40,Staying Still
 1438774848476,+1000, +208,  -64,Staying Still
 1438774848516,+1016, +200,  -48,Staying Still
 1438774848556,+1024, +184,  -56,Staying Still
 1438774848596,+1024, +176,  -56,Staying Still
 1438774848636,+1016, +168,  -40,Staying Still
 1438774848676,+1016, +176,  -56,Staying Still
 1438774848716,+1016, +160,  -96,Staying Still
 1438774848756,+1024, +160,  -88,Staying Still
 1438774848796,+1024, +168,  -64,Staying Still
 1438774848836,+1032, +192,  -64,Staying Still
 1438774848876,+1032, +192,  -40,Staying Still
 1438774848916,+1024, +208,  -88,Staying Still
 1438774848956,+1032, +208,  -80,Staying Still
 1438774848996,+1024, +200,  -72,Staying Still
 1438774849036,+1024, +176,  -72,Staying Still
 1438774849076,+1016, +168,  -64,Staying Still
 1438774849116,+1024, +200,  -48,Staying Still
 1438774849156,+1024, +200,  -48,Staying Still
 1438774849196,+1000, +200,  -40,Staying Still
 1438774849236,+1000, +184,  -56,Staying Still
 1438774849276,+1016, +200, -120,Staying Still
 1438774849316,+1024, +208,  -72,Staying Still
 1438774849356,+1032, +216,  -72,Staying Still
 1438774849396,+1032, +224,  -72,Staying Still
 1438774849436,+1048, +200, -112,Staying Still
 1438774849476,+1016, +216,  -40,Staying Still
 1438774849516,+1024, +208,  -72,Staying Still
 1438774849556,+1040, +208,  -48,Staying Still
 1438774849596,+1040, +184,  -88,Staying Still
 1438774849636,+1032, +184,  -56,Staying Still
 1438774849676,+1048, +200,  -80,Staying Still
 1438774849716,+1032, +200,  -72,Staying Still
 1438774849756,+1032, +200,  -56,Staying Still
 1438774849796,+1024, +200,  -64,Staying Still
 1438774849836,+1032, +200,  -56,Staying Still
 1438774849876,+1032, +208,  -48,Staying Still
 1438774849916,+1032, +208,  -64,Staying Still
 1438774849956,+1016, +192,  -40,Staying Still
 1438774849996,+1016, +184,  -72,Staying Still
 1438774850036,+1016, +192,  -72,Staying Still
 1438774850076,+1032, +192,  -72,Staying Still
 1438774850116,+1024, +200,  -48,Staying Still
 1438774850156,+1024, +208,  -56,Staying Still
 1438774850196,+1016, +208,  -56,Staying Still
 1438774850236,+1016, +216,  -56,Staying Still
 1438774850276,+1024, +208,  -80,Staying Still
 1438774850316,+1024, +216,  -80,Staying Still
 1438774850356,+1024, +216,  -56,Staying Still
 1438774850396,+1024, +208,  -72,Staying Still
 1438774850436,+1032, +208,  -64,Staying Still
 1438774850476,+1024, +208,  -64,Staying Still
 1438774850516,+1016, +208,  -72,Staying Still
 1438774850556,+1016, +216,  -96,Staying Still
 1438774850596,+1016, +216,  -80,Staying Still
 1438774850636,+1016, +216,  -56,Staying Still
 1438774850676,+1024, +208,  -72,Staying Still
 1438774850716,+1024, +216,  -72,Staying Still
 1438774850756,+1024, +216,  -80,Staying Still
 1438774850796,+1024, +224,  -64,Staying Still
 1438774850836,+1024, +224,  -64,Staying Still
 1438774850876,+1016, +216,  -40,Staying Still
 1438774850916,+1024, +216,  -64,Staying Still
 1438774850956,+1024, +216,  -72,Staying Still
 1438774850996,+1024, +224,  -88,Staying Still
 1438774851036,+1024, +216,  -88,Staying Still
 1438774851076,+1024, +216,  -88,Staying Still
 1438774851116,+1016, +208,  -72,Staying Still
 1438774851156,+1016, +216,  -88,Staying Still
 1438774851196,+1016, +216,  -56,Staying Still
 1438774851236,+1016, +232,  -56,Staying Still
 1438774851276,+1024, +216,  -72,Staying Still
 1438774851316,+1024, +208,  -80,Staying Still
 1438774851356,+1024, +200,  -96,Staying Still
 1438774851396,+1016, +200,  -80,Staying Still
 1438774851436,+1024, +192,  -80,Staying Still
 1438774851476,+1024, +208,  -80,Staying Still
 1438774851516,+1024, +208,  -80,Staying Still
 1438774851556,+1024, +216,  -80,Staying Still
 1438774851596,+1024, +216,  -96,Staying Still
