Time(ms),X(mG),Y(mG),Z(mG),Classification
1.43878E+12,808,264,-216,Walking
1.43878E+12,752,232,-248,Walking
1.43878E+12,728,248,-272,Walking
1.43878E+12,744,240,-248,Walking
1.43878E+12,784,240,-304,Walking
1.43878E+12,920,240,-288,Walking
1.43878E+12,1008,208,-416,Walking
1.43878E+12,976,184,-408,Walking
1.43878E+12,1168,176,-432,Walking
1.43878E+12,1304,152,-352,Walking
1.43878E+12,1304,208,-400,Walking
1.43878E+12,1416,200,-368,Walking
1.43878E+12,1352,136,-424,Walking
1.43878E+12,1216,-32,-488,Walking
1.43878E+12,1000,-40,-424,Walking
1.43878E+12,800,16,-240,Walking
1.43878E+12,648,56,-136,Walking
1.43878E+12,616,96,-152,Walking
1.43878E+12,664,160,-280,Walking
1.43878E+12,800,216,-368,Walking
1.43878E+12,1080,232,-504,Walking
1.43878E+12,1344,288,-496,Walking
1.43878E+12,1440,256,-472,Walking
1.43878E+12,1288,192,-296,Walking
1.43878E+12,976,144,-272,Walking
1.43878E+12,808,160,-144,Walking
1.43878E+12,856,264,-280,Walking
1.43878E+12,920,304,-424,Walking
1.43878E+12,872,296,-304,Walking
1.43878E+12,848,256,-248,Walking
1.43878E+12,848,264,-248,Walking
1.43878E+12,872,248,-272,Walking
1.43878E+12,936,232,-280,Walking
1.43878E+12,1000,208,-336,Walking
1.43878E+12,1064,200,-344,Walking
1.43878E+12,1168,192,-432,Walking
1.43878E+12,1232,192,-336,Walking
1.43878E+12,1216,184,-248,Walking
1.43878E+12,1088,176,-296,Walking
1.43878E+12,1008,128,-248,Walking
1.43878E+12,1032,136,-248,Walking
1.43878E+12,1048,104,-240,Walking
1.43878E+12,1024,72,-280,Walking
1.43878E+12,1024,-56,-416,Walking
1.43878E+12,928,-24,-400,Walking
1.43878E+12,848,88,-304,Walking
1.43878E+12,776,128,-280,Walking
1.43878E+12,744,200,-232,Walking
1.43878E+12,768,200,-232,Walking
1.43878E+12,856,112,-328,Walking
1.43878E+12,1088,56,-632,Walking
1.43878E+12,1200,192,-472,Walking
1.43878E+12,1304,328,-448,Walking
1.43878E+12,1256,272,-520,Walking
1.43878E+12,1096,216,-368,Walking
1.43878E+12,1032,256,-208,Walking
1.43878E+12,1008,232,-208,Walking
1.43878E+12,1008,184,-256,Walking
1.43878E+12,944,144,-320,Walking
1.43878E+12,856,136,-312,Walking
1.43878E+12,792,152,-280,Walking
1.43878E+12,768,136,-248,Walking
1.43878E+12,768,144,-288,Walking
1.43878E+12,800,144,-320,Walking
1.43878E+12,960,192,-400,Walking
1.43878E+12,1168,208,-400,Walking
1.43878E+12,1248,200,-384,Walking
1.43878E+12,1288,192,-344,Walking
1.43878E+12,1232,152,-440,Walking
1.43878E+12,1104,112,-344,Walking
1.43878E+12,1032,72,-256,Walking
1.43878E+12,1000,72,-248,Walking
1.43878E+12,952,72,-312,Walking
1.43878E+12,824,-112,-440,Walking
1.43878E+12,752,-120,-400,Walking
1.43878E+12,704,-24,-416,Walking
1.43878E+12,736,184,-288,Walking
1.43878E+12,800,256,-280,Walking
1.43878E+12,928,264,-368,Walking
1.43878E+12,1168,184,-656,Walking
1.43878E+12,1296,280,-456,Walking
1.43878E+12,1336,312,-528,Walking
1.43878E+12,1208,328,-536,Walking
1.43878E+12,1040,384,-376,Walking
1.43878E+12,1016,384,-272,Walking
1.43878E+12,1016,296,-224,Walking
1.43878E+12,960,224,-296,Walking
1.43878E+12,880,136,-312,Walking
1.43878E+12,808,128,-288,Walking
1.43878E+12,784,136,-224,Walking
1.43878E+12,816,152,-240,Walking
1.43878E+12,824,152,-256,Walking
1.43878E+12,856,208,-256,Walking
