Time(ms),X(mG),Y(mG),Z(mG),Classification
 1437935437104,+1008,  +24, -448,Jumping Jacks
 1437935437144, +992,  +16, -416,Jumping Jacks
 1437935437184, +976,   +0, -440,Jumping Jacks
 1437935437224, +984,  -32, -416,Jumping Jacks
 1437935437264,+1008,  -32, -448,Jumping Jacks
 1437935437304,+1008,  -16, -400,Jumping Jacks
 1437935437344,+1016,   +8, -424,Jumping Jacks
 1437935437384,+1000,  -24, -448,Jumping Jacks
 1437935437424, +976,   +8, -432,Jumping Jacks
 1437935437464, +976,   -8, -408,Jumping Jacks
 1437935437504, +976,   -8, -416,Jumping Jacks
 1437935437544, +976,  -16, -432,Jumping Jacks
 1437935437584, +976,   +0, -400,Jumping Jacks
 1437935437624,+1024,   +0, -424,Jumping Jacks
 1437935437664,+1032,   -8, -392,Jumping Jacks
 1437935437704,+1008,  -16, -392,Jumping Jacks
 1437935437744, +952,  -32, -416,Jumping Jacks
 1437935437784, +912,  -80, -456,Jumping Jacks
 1437935437824, +888, -120, -488,Jumping Jacks
 1437935437864, +888, -136, -440,Jumping Jacks
 1437935437904, +896, -160, -536,Jumping Jacks
 1437935437944, +896, -168, -536,Jumping Jacks
 1437935437984, +896, -176, -592,Jumping Jacks
 1437935438024, +896, -216, -608,Jumping Jacks
 1437935438064, +920, -224, -600,Jumping Jacks
 1437935438104, +912, -216, -672,Jumping Jacks
 1437935438144, +880, -168, -680,Jumping Jacks
 1437935438184, +824, -136, -704,Jumping Jacks
 1437935438224, +832,  -80, -728,Jumping Jacks
 1437935438264, +824,  +40, -808,Jumping Jacks
 1437935438304, +856, +112, -920,Jumping Jacks
 1437935438344, +888, +160, -944,Jumping Jacks
 1437935438384, +856, +192,-1024,Jumping Jacks
 1437935438424, +768, +176,-1024,Jumping Jacks
 1437935438464, +616, +184, -992,Jumping Jacks
 1437935438504, +488, +152, -936,Jumping Jacks
 1437935438544, +392, +184, -872,Jumping Jacks
 1437935438584, +320, +184, -856,Jumping Jacks
 1437935438624, +312, +224, -880,Jumping Jacks
 1437935438664, +352, +264, -896,Jumping Jacks
 1437935438704, +376, +288, -808,Jumping Jacks
 1437935438744, +408, +288, -784,Jumping Jacks
 1437935438784, +424, +280, -696,Jumping Jacks
 1437935438824, +376, +264, -736,Jumping Jacks
 1437935438864, +400, +240, -744,Jumping Jacks
 1437935438904, +560, +360,-1040,Jumping Jacks
 1437935438944, +608, +336,-1032,Jumping Jacks
 1437935438984, +632, +448, -928,Jumping Jacks
 1437935439024, +704, +440, -904,Jumping Jacks
 1437935439064, +656, +432, -784,Jumping Jacks
 1437935439104, +608, +448, -608,Jumping Jacks
 1437935439144, +536, +408, -688,Jumping Jacks
 1437935439184, +520, +408, -496,Jumping Jacks
 1437935439224, +576, +424, -536,Jumping Jacks
 1437935439264, +552, +288, -600,Jumping Jacks
 1437935439304, +616, +216, -488,Jumping Jacks
 1437935439344, +792, +136, -664,Jumping Jacks
 1437935439384, +976, +104, -728,Jumping Jacks
 1437935439424,+1032, +168, -584,Jumping Jacks
 1437935439464,+1072, +136, -576,Jumping Jacks
 1437935439504,+1088, +168, -336,Jumping Jacks
 1437935439544,+1240, +160, -328,Jumping Jacks
 1437935439584,+1144,  +88, -152,Jumping Jacks
 1437935439624,+1056, +192, -120,Jumping Jacks
 1437935439664,+1016, +216, -240,Jumping Jacks
 1437935439704, +984, +248,   -8,Jumping Jacks
 1437935439744, +912, +312,  +32,Jumping Jacks
 1437935439784, +952, +272,  -80,Jumping Jacks
 1437935439824, +960, +288,  +40,Jumping Jacks
 1437935439864, +888, +344,  -48,Jumping Jacks
 1437935439904, +776, +256, -280,Jumping Jacks
 1437935439944, +648, +184, -328,Jumping Jacks
 1437935439984, +456, +256, -848,Jumping Jacks
 1437935440024, +728, +224,-2096,Jumping Jacks
 1437935440064,+1392, +400,-1928,Jumping Jacks
 1437935440104,+2296,+1008,-2328,Jumping Jacks
 1437935440144,+3168,+1152,-2224,Jumping Jacks
 1437935440184,+3120,+1640,-1184,Jumping Jacks
 1437935440224,+2608,+1584, -408,Jumping Jacks
 1437935440264,+1872,+1216, -288,Jumping Jacks
 1437935440304,+1368, +968, +240,Jumping Jacks
 1437935440344,+1072, +768, +144,Jumping Jacks
 1437935440384, +920, +864, +280,Jumping Jacks
 1437935440424, +872, +736, +384,Jumping Jacks
 1437935440464, +816, +712, +224,Jumping Jacks
 1437935440504, +824, +696,  +96,Jumping Jacks
 1437935440544, +936, +688, +256,Jumping Jacks
 1437935440584,+1120, +208, -360,Jumping Jacks
 1437935440624, +712, -688,  +16,Jumping Jacks
 1437935440664, +328,-1992,-1384,Jumping Jacks
 1437935440704, -152,-2936,-1000,Jumping Jacks
 1437935440744, -464,-3016, -224,Jumping Jacks
 1437935440784,  -96,-2008, -256,Jumping Jacks
 1437935440824, +600, -760, +288,Jumping Jacks
 1437935440864,+1184,  +56, +232,Jumping Jacks
 1437935440904,+1456, +528,   +0,Jumping Jacks
 1437935440944,+1448, +792,  +64,Jumping Jacks
 1437935440984,+1480, +616, +224,Jumping Jacks
 1437935441024,+1720, +824, -112,Jumping Jacks
 1437935441064,+1560, +880,  -80,Jumping Jacks
 1437935441104,+1480, +784,   -8,Jumping Jacks
 1437935441144,+1592,+1040, -584,Jumping Jacks
 1437935441184,+2344, +840,-1560,Jumping Jacks
 1437935441224,+3208, +920,-3968,Jumping Jacks
 1437935441264,+3648,+1808,-4080,Jumping Jacks
 1437935441304,+3368, +632,-3792,Jumping Jacks
 1437935441344,+2832, +704,-1960,Jumping Jacks
 1437935441384,+2168, +752, -952,Jumping Jacks
 1437935441424,+1920, +800, -176,Jumping Jacks
 1437935441464,+2008, +824, -392,Jumping Jacks
 1437935441504,+2048, +912,  -88,Jumping Jacks
 1437935441544,+2200, +976, +184,Jumping Jacks
 1437935441584,+2240,+1056,  +72,Jumping Jacks
 1437935441624,+2352,+1088, +288,Jumping Jacks
 1437935441664,+2264, +848, +256,Jumping Jacks
 1437935441704,+1952, -728, +904,Jumping Jacks
 1437935441744, +288,-1848, +712,Jumping Jacks
 1437935441784, -288,-2960,+1248,Jumping Jacks
 1437935441824, -216,-2992, +528,Jumping Jacks
 1437935441864, +184,-1936, +456,Jumping Jacks
 1437935441904,+1136, -680, +136,Jumping Jacks
 1437935441944,+1672, +320, +128,Jumping Jacks
 1437935441984,+2048, +752, +288,Jumping Jacks
 1437935442024,+2392, +880, +440,Jumping Jacks
 1437935442064,+2392,+1048, +200,Jumping Jacks
 1437935442104,+1984, +984,  -80,Jumping Jacks
 1437935442144,+1816,+1008, -584,Jumping Jacks
 1437935442184,+1512, +872,-1040,Jumping Jacks
 1437935442224,+1952,+1256,-2320,Jumping Jacks
 1437935442264,+2680,+1920,-4080,Jumping Jacks
 1437935442304,+3056,+1152,-4080,Jumping Jacks
 1437935442344,+3568,+1488,-2560,Jumping Jacks
 1437935442384,+3152,+1208,-1696,Jumping Jacks
 1437935442424,+2368,+1088,-1048,Jumping Jacks
 1437935442464,+2056, +976, -296,Jumping Jacks
 1437935442504,+2056,+1000,  +88,Jumping Jacks
 1437935442544,+2152,+1040, +176,Jumping Jacks
 1437935442584,+2256,+1112, +184,Jumping Jacks
 1437935442624,+2496,+1296, +368,Jumping Jacks
 1437935442664,+2624,+1040, +240,Jumping Jacks
 1437935442704,+2144, +488, +712,Jumping Jacks
 1437935442744, +736, -536, +792,Jumping Jacks
 1437935442784, +432,-2312, +288,Jumping Jacks
 1437935442824, +280,-3200, +232,Jumping Jacks
 1437935442864, +208,-3096,+1040,Jumping Jacks
 1437935442904, +608,-2040, +152,Jumping Jacks
 1437935442944,+1104, -712, +160,Jumping Jacks
 1437935442984,+1792, +160, +304,Jumping Jacks
 1437935443024,+2144, +744, -296,Jumping Jacks
 1437935443064,+2104, +984, -136,Jumping Jacks
 1437935443104,+2024,+1056,  +24,Jumping Jacks
 1437935443144,+1712,+1032, -296,Jumping Jacks
 1437935443184,+1512, +984,  -24,Jumping Jacks
 1437935443224,+1376,+1016, -744,Jumping Jacks
 1437935443264,+1144,+1352,-1024,Jumping Jacks
 1437935443304,+2464,+1496,-3488,Jumping Jacks
 1437935443344,+3272, +256,-4080,Jumping Jacks
 1437935443384,+3480, +936,-3416,Jumping Jacks
 1437935443424,+3184, +256,-2840,Jumping Jacks
 1437935443464,+2496, +200,-1552,Jumping Jacks
 1437935443504,+1984, +624, -584,Jumping Jacks
 1437935443544,+1976, +712, -440,Jumping Jacks
 1437935443584,+2104, +848, -568,Jumping Jacks
 1437935443624,+2336,+1000, -176,Jumping Jacks
 1437935443664,+2680,+1048, -328,Jumping Jacks
 1437935443704,+2480, +832, -256,Jumping Jacks
 1437935443744,+2472, +784, +136,Jumping Jacks
 1437935443784,+2192, +504, +784,Jumping Jacks
 1437935443824,+1216, -528,+1552,Jumping Jacks
 1437935443864, +840,-2304,+2216,Jumping Jacks
 1437935443904, +456,-3080,+1592,Jumping Jacks
 1437935443944, +648,-2400,+1328,Jumping Jacks
 1437935443984,+1064,-1272, +360,Jumping Jacks
 1437935444024,+2208, -184, -320,Jumping Jacks
 1437935444064,+3144,+1384, -648,Jumping Jacks
 1437935444104,+3192,+1344, -440,Jumping Jacks
 1437935444144,+2848,+1344, -448,Jumping Jacks
 1437935444184,+2376,+1192, -584,Jumping Jacks
 1437935444224,+1728, +840,-1048,Jumping Jacks
 1437935444264,+1224, +736, -448,Jumping Jacks
 1437935444304, +704,+1152,-1760,Jumping Jacks
 1437935444344,+1664,  -88,-4080,Jumping Jacks
 1437935444384,+2752,+1368,-3056,Jumping Jacks
 1437935444424,+3416, +472,-2776,Jumping Jacks
 1437935444464,+3416,   +0,-2184,Jumping Jacks
 1437935444504,+2568,  +96,-1560,Jumping Jacks
 1437935444544,+2072, +328, -712,Jumping Jacks
 1437935444584,+2096, +552, -296,Jumping Jacks
 1437935444624,+2272, +584, -448,Jumping Jacks
 1437935444664,+2208, +688, +208,Jumping Jacks
 1437935444704,+2352, +936,  +40,Jumping Jacks
 1437935444744,+2352, +960, +328,Jumping Jacks
 1437935444784,+2224, +688, +792,Jumping Jacks
 1437935444824,+1736,  +24, +552,Jumping Jacks
 1437935444864, +648,-1344,  -32,Jumping Jacks
 1437935444904, +656,-2712, -208,Jumping Jacks
 1437935444944, +360,-3400, +304,Jumping Jacks
 1437935444984, +496,-2768, +632,Jumping Jacks
 1437935445024, +984,-1528,  +72,Jumping Jacks
 1437935445064,+1840, -264, -120,Jumping Jacks
 1437935445104,+2376, +832, +248,Jumping Jacks
 1437935445144,+2312,+1168, -184,Jumping Jacks
 1437935445184,+2000,+1176,  +80,Jumping Jacks
 1437935445224,+1688,+1104, +208,Jumping Jacks
 1437935445264,+1472, +968,  -32,Jumping Jacks
 1437935445304,+1448, +872, -344,Jumping Jacks
 1437935445344,+1416, +880, -320,Jumping Jacks
 1437935445384,+2264,+1360,-1952,Jumping Jacks
 1437935445424,+3176,+2264,-3208,Jumping Jacks
 1437935445464,+3632,+3168,-3968,Jumping Jacks
 1437935445504,+3360,+3136,-1400,Jumping Jacks
 1437935445544,+2672,+2656, -768,Jumping Jacks
 1437935445584,+2120,+2000,  +80,Jumping Jacks
 1437935445624,+2008,+1512, +440,Jumping Jacks
 1437935445664,+1904,+1184, +440,Jumping Jacks
 1437935445704,+1960,+1144, +440,Jumping Jacks
 1437935445744,+2184,+1240, +448,Jumping Jacks
 1437935445784,+2536,+1296, +104,Jumping Jacks
 1437935445824,+2384,+1192, +176,Jumping Jacks
 1437935445864,+2360, +928, +656,Jumping Jacks
 1437935445904,+1776, -576,+1632,Jumping Jacks
 1437935445944, +976,-1888, +912,Jumping Jacks
 1437935445984, +560,-2984, -112,Jumping Jacks
 1437935446024, +384,-3536, -240,Jumping Jacks
 1437935446064, +784,-2664,  +32,Jumping Jacks
 1437935446104,+1408,-1192,  +24,Jumping Jacks
 1437935446144,+2320, +208, +304,Jumping Jacks
 1437935446184,+2480,+1112, +352,Jumping Jacks
 1437935446224,+2616,+1184, +776,Jumping Jacks
 1437935446264,+2472,+1600, +408,Jumping Jacks
 1437935446304,+1928,+1216, +448,Jumping Jacks
 1437935446344,+1392,+1040, -280,Jumping Jacks
 1437935446384,+1288,+1272, -992,Jumping Jacks
 1437935446424,+1408,+1392,-1808,Jumping Jacks
 1437935446464,+2744,+2024,-4080,Jumping Jacks
 1437935446504,+3416,+2400,-2608,Jumping Jacks
 1437935446544,+3752,+2976, -432,Jumping Jacks
 1437935446584,+3232,+2376, -840,Jumping Jacks
 1437935446624,+2400,+1824, -400,Jumping Jacks
 1437935446664,+2048,+1360, +160,Jumping Jacks
 1437935446704,+1992,+1144, +512,Jumping Jacks
 1437935446744,+2016,+1056, +392,Jumping Jacks
 1437935446784,+2168,+1008, +560,Jumping Jacks
 1437935446824,+2264, +864, +592,Jumping Jacks
 1437935446864,+2096, +704, +784,Jumping Jacks
 1437935446904,+1808, +648,+1120,Jumping Jacks
 1437935446944,+1632,   +8, -280,Jumping Jacks
 1437935446984, +648, -744,-1392,Jumping Jacks
 1437935447024, +312,-2416,-2960,Jumping Jacks
 1437935447064, -120,-2816,-1456,Jumping Jacks
 1437935447104, +104,-2480,-1304,Jumping Jacks
 1437935447144, +456,-1504, -384,Jumping Jacks
 1437935447184,+1192, -552, +176,Jumping Jacks
 1437935447224,+1824, +408, +952,Jumping Jacks
 1437935447264,+2176, +856, +864,Jumping Jacks
 1437935447304,+2112,+1128, +680,Jumping Jacks
 1437935447344,+1792,+1088, +584,Jumping Jacks
 1437935447384,+1648, +992, +184,Jumping Jacks
