Time(ms),X(mG),Y(mG),Z(mG),Classification
 1437933243724, +856, +248, -632,Pushups
 1437933243765, +840, +224, -600,Pushups
 1437933243806, +848, +216, -600,Pushups
 1437933243847, +848, +224, -576,Pushups
 1437933243888, +848, +240, -528,Pushups
 1437933243929, +888, +232, -584,Pushups
 1437933243970, +880, +232, -608,Pushups
 1437933244011, +872, +240, -624,Pushups
 1437933244052, +864, +216, -520,Pushups
 1437933244093, +856, +200, -544,Pushups
 1437933244134, +832, +216, -664,Pushups
 1437933244175, +856, +160, -608,Pushups
 1437933244216, +872, +152, -576,Pushups
 1437933244257, +856, +160, -664,Pushups
 1437933244298, +880,  +96, -528,Pushups
 1437933244339, +872,  +72, -672,Pushups
 1437933244380, +840,  +88, -672,Pushups
 1437933244421, +832, +120, -680,Pushups
 1437933244462, +856, +128, -656,Pushups
 1437933244503, +840, +136, -680,Pushups
 1437933244544, +824, +128, -736,Pushups
 1437933244585, +832, +152, -688,Pushups
 1437933244626, +816, +112, -704,Pushups
 1437933244667, +816, +152, -672,Pushups
 1437933244708, +872,  +88, -648,Pushups
 1437933244749, +872,  +88, -744,Pushups
 1437933244790, +888,  +56, -720,Pushups
 1437933244831, +880, +104, -704,Pushups
 1437933244872, +976,  +88, -952,Pushups
 1437933244913,+1168, -208, -952,Pushups
 1437933244954,+1016, -312, -392,Pushups
 1437933244995, +704, -232, -600,Pushups
 1437933245036, +552, +240, -568,Pushups
 1437933245077, +208, +648, +232,Pushups
 1437933245118, +368, +648, +792,Pushups
 1437933245159,+1888,  -16, -184,Pushups
 1437933245200,+1264,  -96, -904,Pushups
 1437933245241,+1144,  +16, -392,Pushups
 1437933245282,+1040,  +16, -504,Pushups
 1437933245323,+1000,  -16, -512,Pushups
 1437933245364, +912,  -32, -648,Pushups
 1437933245405, +944,  +72, -600,Pushups
 1437933245446, +944,   -8, -512,Pushups
 1437933245487, +888,  +64, -688,Pushups
 1437933245528, +896,  -40, -584,Pushups
 1437933245569, +856,  -48, -768,Pushups
 1437933245610, +888,  +48, -552,Pushups
 1437933245651, +912,  +16, -528,Pushups
 1437933245692, +936,  -80, -600,Pushups
 1437933245733, +928,  -88, -600,Pushups
 1437933245774, +936,  -80, -536,Pushups
 1437933245815, +928, -120, -632,Pushups
 1437933245856, +896,  -72, -672,Pushups
 1437933245897, +872, -152, -584,Pushups
 1437933245938, +880, -176, -608,Pushups
 1437933245979, +864, -192, -576,Pushups
 1437933246020, +912, -208, -616,Pushups
 1437933246061, +880, -176, -568,Pushups
 1437933246102, +912, -216, -608,Pushups
 1437933246143, +904, -176, -576,Pushups
 1437933246184, +848, -240, -584,Pushups
 1437933246225, +848, -160, -568,Pushups
 1437933246266, +848,   +8, -616,Pushups
 1437933246307, +896,  -48, -648,Pushups
 1437933246348, +992,  -16, -448,Pushups
 1437933246389,+1008,  +16, -312,Pushups
 1437933246430,+1016, +104, -208,Pushups
 1437933246471, +992, +184, -360,Pushups
 1437933246512, +960, +272, -320,Pushups
 1437933246553,+1024, +232,  -64,Pushups
 1437933246594,+1048, +248, -312,Pushups
 1437933246635,+1088,  +48,  -40,Pushups
 1437933246676,+1064,  +64, -264,Pushups
