Time(ms),X(mG),Y(mG),Z(mG),Classification
 1437933372981, +856, +344, -568,Situps
 1437933373020, +976, +416, -576,Situps
 1437933373059, +936, +408, -368,Situps
 1437933373098, +904, +232, -304,Situps
 1437933373137, +920, +128, -144,Situps
 1437933373176, +920,  +48,  -72,Situps
 1437933373215,+1024,   -8, -936,Situps
 1437933373254,+1040, -456, -864,Situps
 1437933373293,+1232,  +32, -264,Situps
 1437933373332,+1168,  -88, -584,Situps
 1437933373371,+1080,  -88, -296,Situps
 1437933373410,+1032, -160, -336,Situps
 1437933373449,+1064, -184, -400,Situps
 1437933373488,+1080, -184, -320,Situps
 1437933373527,+1048, -176, -312,Situps
 1437933373566,+1024, -112, -344,Situps
 1437933373605,+1008, -104, -280,Situps
 1437933373644,+1032, -112, -304,Situps
 1437933373683,+1048, -120, -400,Situps
 1437933373722,+1064,  -64, -352,Situps
 1437933373761,+1032, -104, -296,Situps
 1437933373800,+1040, -120, -464,Situps
 1437933373839, +984,  -40, -384,Situps
 1437933373878, +968,  -48, -392,Situps
 1437933373917,+1024, -248, -360,Situps
 1437933373956, +992, -112, -392,Situps
 1437933373995,+1040,  -56, -280,Situps
 1437933374034,+1008, -104, -520,Situps
 1437933374073,+1040,   -8, -232,Situps
 1437933374112, +984,  -16, -400,Situps
 1437933374151,+1008,  -16, -328,Situps
 1437933374190, +928,   -8, -616,Situps
 1437933374229, +952, -208,  -64,Situps
 1437933374268, +960,  +24, -568,Situps
 1437933374307, +832,  +56, -288,Situps
 1437933374346, +936, +216, -576,Situps
 1437933374385, +872,   -8, -128,Situps
 1437933374424, +904, +248, -536,Situps
 1437933374463, +824, +264, -352,Situps
 1437933374502, +856, +432, -480,Situps
 1437933374541, +808, +520, -480,Situps
 1437933374580, +696, +824, -536,Situps
 1437933374619, +720,+1192, -184,Situps
 1437933374658, +632,+1296,  -24,Situps
 1437933374697, +504,+1328,  +32,Situps
 1437933374736, +384,+1304, -408,Situps
 1437933374775, +296,+1440, -640,Situps
 1437933374814, +192,+1440, -688,Situps
 1437933374853, +168,+1216, -680,Situps
 1437933374892,  -40,+1016, -448,Situps
 1437933374931, -152, +720, -424,Situps
 1437933374970, -240, +432,  +88,Situps
 1437933375009, -216, +232, +144,Situps
 1437933375048, -192,  -16, +360,Situps
 1437933375087,   +0, -256, +552,Situps
 1437933375126,  +72, -328, +792,Situps
 1437933375165, +344, -560, +552,Situps
 1437933375204, +376, -552, +880,Situps
 1437933375243, +528, -656, +576,Situps
 1437933375282, +480, -488,+1040,Situps
 1437933375321, +704, -512, +608,Situps
 1437933375360, +672, -464, +856,Situps
 1437933375399, +624, -400,+1104,Situps
